XGraus;XRad;SenoX
0;0;0
5;0.087266463;0.087155743
10;0.174532925;0.173648178
15;0.261799388;0.258819045
20;0.34906585;0.342020143
25;0.436332313;0.422618262
30;0.523598776;0.5
35;0.610865238;0.573576436
40;0.698131701;0.64278761
45;0.785398163;0.707106781
50;0.872664626;0.766044443
55;0.959931089;0.819152044
60;1.047197551;0.866025404
65;1.134464014;0.906307787
70;1.221730476;0.939692621
75;1.308996939;0.965925826
80;1.396263402;0.984807753
85;1.483529864;0.996194698
90;1.570796327;1
95;1.658062789;0.996194698
100;1.745329252;0.984807753
105;1.832595715;0.965925826
110;1.919862177;0.939692621
115;2.00712864;0.906307787
120;2.094395102;0.866025404
125;2.181661565;0.819152044
130;2.268928028;0.766044443
135;2.35619449;0.707106781
140;2.443460953;0.64278761
145;2.530727415;0.573576436
150;2.617993878;0.5
155;2.705260341;0.422618262
160;2.792526803;0.342020143
165;2.879793266;0.258819045
170;2.967059728;0.173648178
175;3.054326191;0.087155743
180;3.141592654;1.22515E-16
185;3.228859116;-0.087155743
190;3.316125579;-0.173648178
195;3.403392041;-0.258819045
200;3.490658504;-0.342020143
205;3.577924967;-0.422618262
210;3.665191429;-0.5
215;3.752457892;-0.573576436
220;3.839724354;-0.64278761
225;3.926990817;-0.707106781
230;4.01425728;-0.766044443
235;4.101523742;-0.819152044
240;4.188790205;-0.866025404
245;4.276056667;-0.906307787
250;4.36332313;-0.939692621
255;4.450589593;-0.965925826
260;4.537856055;-0.984807753
265;4.625122518;-0.996194698
270;4.71238898;-1
275;4.799655443;-0.996194698
280;4.886921906;-0.984807753
285;4.974188368;-0.965925826
290;5.061454831;-0.939692621
295;5.148721293;-0.906307787
300;5.235987756;-0.866025404
305;5.323254219;-0.819152044
310;5.410520681;-0.766044443
315;5.497787144;-0.707106781
320;5.585053606;-0.64278761
325;5.672320069;-0.573576436
330;5.759586532;-0.5
335;5.846852994;-0.422618262
340;5.934119457;-0.342020143
345;6.021385919;-0.258819045
350;6.108652382;-0.173648178
355;6.195918845;-0.087155743
359;6.265732015;-0.017452406
